Root after shoot method: 1.0799025067826216
Dots for plot:
x = 0.0, T = -5.399347635659524e-13
x = 0.5531058706954873, T = 0.5759674916571199
x = 0.5551098774733696, T = 0.5779389288843302
x = 0.5571138842512517, T = 0.579909488783441
x = 0.5591178910291339, T = 0.5818791729958085
x = 0.5611218978070162, T = 0.5838479831925018
x = 0.5631259045848983, T = 0.5858159210743035
x = 0.5651299113627806, T = 0.5877829883717094
x = 0.5671339181406627, T = 0.5897491868449287
x = 0.569137924918545, T = 0.5917145182838843
x = 0.5711419316964271, T = 0.593678984508212
x = 0.5731459384743094, T = 0.5956425873672612
x = 0.5751499452521915, T = 0.5976053287400944
x = 0.5771539520300737, T = 0.5995672105354878
x = 0.579157958807956, T = 0.601528234691931
x = 0.5811619655858381, T = 0.6034884031776265
x = 0.5831659723637204, T = 0.6054477179904907
x = 0.5851699791416025, T = 0.6074061811581529
x = 0.5871739859194848, T = 0.6093637947379563
x = 0.5891779926973669, T = 0.6113205608169568
x = 0.5911819994752492, T = 0.6132764815119243
x = 0.5931860062531313, T = 0.6152315589693411
x = 0.5951900130310136, T = 0.6171857953654043
x = 0.5971940198088957, T = 0.6191391929060232
x = 0.5991980265867779, T = 0.6210917538268208
x = 0.6012020333646602, T = 0.6230434803931337
x = 0.6032060401425423, T = 0.6249943749000114
x = 0.6052100469204246, T = 0.6269444396722176
x = 0.6072140536983067, T = 0.628893677064228
x = 0.609218060476189, T = 0.6308420894602328
x = 0.6112220672540711, T = 0.6327896792741352
x = 0.6132260740319534, T = 0.634736448949552
x = 0.6152300808098355, T = 0.6366824009598125
x = 0.6172340875877178, T = 0.6386275378079607
x = 0.6192380943656, T = 0.6405718620267524
x = 0.6212421011434821, T = 0.6425153761786586
x = 0.6232461079213644, T = 0.6444580828558623
x = 0.6252501146992465, T = 0.6463999846802597
x = 0.6272541214771288, T = 0.6483410843034614
x = 0.6292581282550109, T = 0.6502813844067908
x = 0.6312621350328932, T = 0.652220887701285
x = 0.6332661418107753, T = 0.6541595969276934
x = 0.6352701485886576, T = 0.65609751485648
x = 0.6372741553665398, T = 0.6580346442878218
x = 0.639278162144422, T = 0.659970988051609
x = 0.6412821689223042, T = 0.6619065490074449
x = 0.6432861757001863, T = 0.6638413300446468
x = 0.6452901824780686, T = 0.6657753340822449
x = 0.6472941892559507, T = 0.6677085640689829
x = 0.649298196033833, T = 0.6696410229833182
x = 0.6513022028117151, T = 0.6715727138334207
x = 0.6533062095895974, T = 0.6735036396571743
x = 0.6553102163674795, T = 0.6754338035221764
x = 0.6573142231453618, T = 0.6773632085257375
x = 0.659318229923244, T = 0.679291857794881
x = 0.6613222367011262, T = 0.6812197544863444
x = 0.6633262434790084, T = 0.6831469017865783
x = 0.6653302502568905, T = 0.6850733029117468
x = 0.6673342570347728, T = 0.6869989611077274
x = 0.6693382638126549, T = 0.68892387965011
x = 0.6713422705905372, T = 0.690848061844199
x = 0.6733462773684193, T = 0.692771511025012
x = 0.6753502841463016, T = 0.6946942305572799
x = 0.6773542909241838, T = 0.6966162238354462
x = 0.679358297702066, T = 0.6985374942836685
x = 0.6813623044799482, T = 0.700458045355818
x = 0.6833663112578304, T = 0.7023778805354789
x = 0.6853703180357126, T = 0.7042970033359484
x = 0.6873743248135947, T = 0.7062154173002373
x = 0.689378331591477, T = 0.7081331260010704
x = 0.6913823383693591, T = 0.710050133040885
x = 0.6933863451472414, T = 0.7119664420518325
x = 0.6953903519251236, T = 0.7138820566957768
x = 0.6973943587030058, T = 0.7157969806642954
x = 0.699398365480888, T = 0.71771121767868
x = 0.7014023722587702, T = 0.719624771489935
x = 0.7034063790366524, T = 0.7215376458787779
x = 0.7054103858145346, T = 0.7234498446556396
x = 0.7074143925924168, T = 0.725361371660665
x = 0.7094183993702989, T = 0.7272722307637122
x = 0.7114224061481812, T = 0.7291824258643522
x = 0.7134264129260633, T = 0.7310919608918696
x = 0.7154304197039456, T = 0.7330008398052622
x = 0.7174344264818278, T = 0.7349090665932416
x = 0.71943843325971, T = 0.7368166452742325
x = 0.7214424400375922, T = 0.7387235798963728
x = 0.7234464468154744, T = 0.7406298745375137
x = 0.7254504535933566, T = 0.7425355333052203
x = 0.7274544603712387, T = 0.7444405603367708
x = 0.729458467149121, T = 0.7463449597991567
x = 0.7314624739270031, T = 0.7482487358890823
x = 0.7334664807048854, T = 0.7501518928329663
x = 0.7354704874827676, T = 0.7520544348869402
x = 0.7374744942606498, T = 0.7539563663368491
x = 0.739478501038532, T = 0.755857691498251
x = 0.7414825078164142, T = 0.7577584147164175
x = 0.7434865145942964, T = 0.7596585403663341
